Attack Type,Trigram,Count
.NET Assembly Obfuscation,constrained language mode,1
AI Code Suggestion Leak,educate users on,1
API Decryption Oracle in Key Management Service,apply least privilege,1
API Explain Call Leaks Raw Features,role based access,1
API-Level Race Condition,use server side,1
ARP Cache Poisoning + Broadcast Abuse,arp inspection dai,1
ARP Cache Poisoning + Broadcast Abuse,dynamic arp inspection,1
ARP Cache Poisoning + Broadcast Abuse,static arp entries,1
ARP Cache Poisoning + Packet Sniffing,arp inspection dai,1
ARP Cache Poisoning + Packet Sniffing,dynamic arp inspection,1
ARP Cache Poisoning + Packet Sniffing,educate users not,1
ARP Cache Poisoning + Packet Sniffing,static arp entries,1
ARP Cache Poisoning + Packet Sniffing,use static arp,1
ARP Poisoning,dynamic arp inspection,1
ARP Spoofing & Proxying,static arp entries,1
ARP Spoofing & Proxying,use static arp,1
ARP Spoofing + Sniffing,arp inspection dai,1
ARP Spoofing + Sniffing,dynamic arp inspection,1
ARP Spoofing + Sniffing,static arp entries,1
ARP Spoofing + Sniffing,use static arp,1
ARP Spoofing Persistence,dynamic arp inspection,1
ARP Spoofing for Default Gateway Hijack,enable dhcp snooping,1
ARP Spoofing for Default Gateway Hijack,use static arp,1
ARP Spoofing via Probe Response Injection,dynamic arp inspection,1
ARP Spoofing via Probe Response Injection,enable dhcp snooping,1
ASLR Bypass / Heap Info Leak,do not trust,1
Abuse of Automation / Privilege Escalation,enforce least privilege,1
Abuse of Automation / Privilege Escalation,least privilege on,1
Abuse of Rate Limiting / Access-Control Controls,enforce server side,1
Abuse of Split Tunneling in VPNs,educate users on,1
Abuse of Unauthenticated Backend APIs,access to internal,1
Abuse of Unauthenticated Backend APIs,disable public access,1
Abusing Accessibility Services → Click Injection,use behavior based,1
Abusing Accessibility Services → Full Remote Control,use behavior based,1
Abusing Accessibility Services → Keylogging via Accessibility Events,use behavior based,1
Abusing Accessibility Services → Overlay Phishing,from unknown sources,1
Abusing Email Auto-forwarding Rules,and alert on,1
Abusing Email Auto-forwarding Rules,sanitize and validate,1
Accidental Credential Leakage,store secrets in,1
Acoustic/Hardware Side Channel,limit access to,1
Active MITM + Denial of Service (Layer 2),dynamic arp inspection,1
Active MITM + Denial of Service (Layer 2),static arp entries,1
Active MITM + Denial of Service (Layer 2),use static arp,1
Active MITM + Payload Injection,end to end,1
Active Network MITM + HTTPS Downgrade Sniffing,dynamic arp inspection,1
Active Network MITM + HTTPS Downgrade Sniffing,enable dhcp snooping,1
Active Probing,disable auto connect,1
Active Probing,educate users to,1
Adversarial Data Exploitation via Overfitting,use adversarial training,1
Adversarial Example (Black-box),add noise to,1
Adversarial Example (White-box),use adversarial training,2
Agent Exploit,human in the,1
Agent Exploit,in the loop,1
Agent Planning Passes Sensitive Input,sanitize user input,1
Aggregation Reconstruction from Gradient Updates,add noise to,1
Aggregation Reconstruction from Gradient Updates,noise to gradients,1
App Hijack and Privilege Escalation via Desktop Entry,by default use,1
App image poisoning during update,write access to,1
AppArmor / Seccomp Bypass,apply least privilege,1
Arbitrary File Overwrite / RCE,write access to,1
Archive Extraction Path Traversal,validate and sanitize,1
Attack on RSA + Symmetric Hybrid Schemes,use rsa oaep,1
Auth Bypass via Malicious Object Deserialization,server side validation,1
Auth Cookie Oracle → Privilege Escalation,aes gcm or,1
Authentication Bypass,enforce server side,1
Authentication Bypass,use long random,1
Authentication Bypass in VNC,enforce strong passwords,2
Authentication Bypass via Lack of MFA,enforce strong passwords,1
Authentication Protocol Sniffing + Replay,use strong encryption,1
Authorization & Input Tampering,server side validation,1
Autocomplete Data Extraction,apply differential privacy,1
Automated Phishing Message Crafting,train users to,1
Automated Phishing Message Crafting,users to verify,1
BLE Injection Attack,end to end,1
Backdoor Attack,anomaly detection on,1
Backdoor via Pixel/Pattern Injection,use adversarial training,1
Backdoor via Repackaging,use code signing,1
Backend Deserialization Exploit,validate and sanitize,1
Base Image Tampering,from trusted sources,1
Beacon Frame Flooding,disable auto connect,3
Beacon Frame Flooding,auto connect to,2
Binary Tampering that Bypasses Hash Check,use secure boot,1
Biometric Authentication Bypass,do not trust,1
Biometric Authentication Bypass,enforce server side,1
Biometric Authentication Bypass,rate limiting and,1
Biometric Authentication Bypass,server side validation,1
Black-box CNN Model Stealing via Label Leaks,apply differential privacy,1
Black-box Evasion via API Querying,use adversarial training,1
Blind Injection via Time Delay,and validate all,1
Blind Injection via Time Delay,sanitize and validate,1
Block Mapping with Known Plaintext,aes gcm or,1
Bluetooth Exploits (BlueBorne & Others),if not needed,1
Bluetooth Spoofing,auto connect to,1
Bluetooth Spoofing,disable auto connect,1
Bluetooth Spoofing,educate users to,1
Bookmark-Based Phishing via Web Clip Icon,educate users on,1
Boot-Level Persistence (Config Tampering),full disk encryption,1
Boot-Time Local Privilege Escalation,full disk encryption,1
Boot-Time Local Privilege Escalation,use secure boot,1
Bootloader Configuration Exploit,full disk encryption,1
Bootloader Configuration Exploit,restrict write access,1
Bootloader Configuration Exploit,write access to,1
Bounce Message Abuse,educate users on,1
"Broken Cryptography (Hardcoded Keys, Weak Algorithms)",use short lived,1
Browser Extension Abuse,educate users on,1
Browser Extension Abuse,on server side,1
Brute Force Credential Guessing,restrict access to,1
Brute Force Login (CMS Panel),enforce strong passwords,1
Brute Force Login (RDP),if not needed,1
Brute Force Login (SMB/Windows),enforce strong passwords,1
Brute Forcing Email Auth via SMTP or IMAP,enforce strong passwords,1
Brute Forcing Email Auth via SMTP or IMAP,implement rate limiting,1
Brute Forcing GPG/PGP Key Passphrases,use long random,1
Brute Forcing Numeric PINs or One-Time Passwords,alert on suspicious,1
Brute-Force Preimage Attack,sha 256 or,1
Buffer Overflow Prep,input validation and,1
Buffer Overflow Prep,strict input validation,1
Build Script Injection,disable script execution,1
BuildKit Misuse,use read only,1
Business Email Compromise (BEC),educate users on,1
Business Email Compromise (BEC),enforce strong passwords,1
Business Logic Abuse,server side validation,1
Business Logic Bypass,end to end,1
Bypass Client-Side Restrictions,server side validation,1
C2 Over HTTPS,deep packet inspection,2
CA Certificate Chain Forgery via Collision,use sha 256,1
CAPTCHA Token Prediction or Reuse,server side validation,1
CAPTCHA Weakness Exploitation via Automation,implement rate limiting,1
CBC Chosen-Plaintext Attack via JavaScript,aes gcm or,1
CDN Impersonation via Prefix Hijack,end to end,1
CI Variable Exposure,restrict log access,1
CI/CD Log Exposure,in ci cd,1
CI/CD Logging Misuse,restrict log access,1
CI/CD Token Exposure,in ci cd,1
CPU Cache Side-Channel,use constant time,2
CSP,content security policy,1
CSP,enforce server side,1
CSP,use content security,1
CSRF (Cross-Site Request Forgery) + Cross-Origin Requests,content security policy,1
"CSRF (Cross-Site Request Forgery), XSS (Cross-Site Scripting)",content security policy,1
CSRF with GET Forms & Auto Image Loads,educate users on,1
CSS Leak (Timing/Style-based),sanitize user input,1
Cable-Based Keylogger,from trusted sources,1
Cache Line Eviction-Based Inference,implement constant time,1
Cache Side-Channel in Multi-Tenant Clouds,constant time crypto,1
Cache Side-Channel on AES Implementation,use constant time,1
Cache-Based Side-Channel via Timing,use constant time,1
Calendar Recon,train users to,1
Canary Injection + Detection,train with dp,1
Capture Usernames/Passwords in Transit,train users to,1
Cellular Attack,end to end,1
Certificate Brute Force / Weak Crypto,use short lived,1
Chip Replacement Attack,secure boot and,1
Chip Replacement Attack,use secure boot,1
Chip-Off Attack,full disk encryption,1
Chosen Input Model Inference,apply differential privacy,1
Chosen Plaintext Attack (CPA) via Patterns,implement constant time,1
Cipher Block Chaining + CPA on Disk Volumes,full disk encryption,1
Classic Prompt Injection Attack,validate and sanitize,1
Clickjacking,user input use,2
Clickjacking,educate users on,1
Clickjacking,use frame options,1
Clickjacking (Advanced Type),content security policy,1
Clickjacking (Advanced Type),frame options deny,1
Clickjacking (Advanced Type),use content security,1
Clickjacking (Advanced Type),use frame options,1
Clickjacking (Advanced),frame options deny,1
Clickjacking (Advanced),use frame options,1
Clickjacking (UI Redress),frame options deny,3
Clickjacking (UI Redress),content security policy,2
Clickjacking (UI Redress),use frame options,2
Clickjacking (UI Redress),use content security,1
Clickjacking + OAuth Abuse,content security policy,1
Clickjacking + OAuth Abuse,frame options deny,1
Clickjacking + OAuth Abuse,use frame options,1
Clickjacking / UI Manipulation,use frame options,1
Client Disassociation (DoS),open wi fi,1
Client-Side Data Manipulation,never trust client,1
Client-Side Injection for Encryption Key Manipulation,use server side,1
Client-Side Input Manipulation,enforce server side,1
Client-Side Logic Manipulation,on server side,1
Client-Side Logic Tampering via LocalStorage Overwrite,use server side,1
Client-Side Timing-Based Side-Channel,use constant time,1
Client-side JavaScript filter bypass,server side validation,1
Clipboard Hijacking → Command Injection,educate users not,1
Clipboard Hijacking → Command Injection,users not to,1
Clipboard Hijacking → Crypto Address Injection,from unknown sources,1
Clipboard Hijacking → Persistent Clipboard Logger,educate users to,1
Clipboard Hijacking → WebView-Based Data Theft,educate users to,1
Cloud API Padding Oracle Exploit,use rsa oaep,1
Cloud Metadata API Exposure via Internal Misconfig,apply least privilege,1
Cloud Ransomware via Accessed VMs / Storage,disable public access,1
Cloud Ransomware via Accessed VMs / Storage,rotate keys regularly,1
Code Execution via Deserialization,input validation and,1
Code Execution via Deserialization,user input use,1
Code Injection / Abuse via Cloud Messaging,strict input validation,1
Code Injection in Structured Labelers,use parameterized queries,1
Code Injection via proc mem using race condition,write access to,1
Code Recon,store secrets in,1
Cold RAM Dump,full disk encryption,1
Collaborative GAN-based Gradient Leakage,add dp noise,1
Collection & Exfiltration → Unauthorized Query Execution via SQLi,use parameterized queries,1
Collection & Exfiltration → Visual Recon via Scripted Capture,restrict access to,1
Collision Attack on MD5/SHA1,sha 256 or,1
Collision in Hash-Chained Logs,sha 256 or,1
Collision in Hash-Chained Logs,use sha 256,1
Collision-Based Key or Message Forgery,sha 256 or,1
Combined Fault Injection and Padding Oracle,use rsa oaep,1
Combined Model Extraction and Data Reconstruction,add noise to,1
Command Injection Attacks,input validation and,1
Command Injection via Prompt,block access to,1
Command Line Analysis,constrained language mode,2
Command Line Analysis,alert on suspicious,1
Command Line Analysis,script block logging,1
Command and Control → Web C2 Using Agent Handlers,script block logging,3
Command-Line Analysis,script block logging,1
Command-and-Control (C2) / Persistence,enforce least privilege,1
Compliance/Internal Viewer Sends Explanations Publicly,sanitize and validate,1
Concept Drift via Poisoned Metadata,anomaly detection on,1
Config Poisoning via Manifest Rewriting,educate users to,1
Configuration File Misuse,in ci cd,1
Configuration Profile Abuse (DNS/Proxy/Cert),from trusted sources,1
Connection Reset via Forged RST,deep packet inspection,1
Container Breakout / Escape,use read only,1
Container Data Exposure via Volume Enumeration,use read only,1
Container Supply Chain,in ci cd,1
Container Supply Chain,use only verified,1
Context Injection via Malicious Retrieval,strict input validation,1
Continuous ACK response loop,deep packet inspection,1
Copycat Token Scam on DEX,educate users on,1
Covert Channel Using ARP Hardware/Protocol Fields,arp inspection dai,1
Covert Data Exfiltration via DNS,and alert on,1
Covert Data Leak via Subdomain DNS Requests,block access to,1
Covert Reverse Shell / Firewall Evasion via ICMP,disable script execution,1
Covert Reverse Shell / Firewall Evasion via ICMP,use behavior based,1
Crash Device or Jam BLE via Advertisement Flood,implement rate limiting,1
Credential Brute Force,enforce strong passwords,1
Credential Brute Force,multi factor authentication,1
Credential Brute Force (SMB),access to internal,1
Credential Brute Force (SMB),enforce strong passwords,1
Credential Brute Force (SMB),to internal ips,1
Credential Dumping via Offline Registry Access,full disk encryption,1
Credential Dumping via Registry Export,and alert on,1
Credential Guessing / Token Abuse,use long random,1
Credential Harvest via Expiry Threat,educate users on,1
Credential Harvesting via Email,educate users on,1
Credential Harvesting via Registry Access,apply least privilege,1
Credential Harvesting via Registry Access,block access to,1
Credential Harvesting via Registry Access,via applocker or,1
Credential Hijacking / Persistence,enforce least privilege,1
Credential Leak via File & Memory,block access to,1
Credential Leakage / UX Exploit,use hardware wallets,1
Credential Leakage via Public Exposure,short lived tokens,1
Credential Leakage via Public Exposure,use short lived,1
Credential Phishing via Form Injection,sanitize all user,1
Credential Phishing via Form Injection,user input use,1
Credential Relay Attack,enforce smb signing,1
Credential Replay,short lived tokens,1
Credential Replay and Relay,enforce smb signing,1
Credential Reuse Automation,implement rate limiting,1
Credential Reuse Automation,multi factor authentication,1
Credential Reuse or Default Access in Monitoring Tools,disable public access,1
Credential Stuffing / Token Abuse,if not needed,1
Credential Theft & Pivoting,role based access,1
Credential Theft / Persistence,enforce least privilege,1
Cronjob Abuse for Callback Shell,enforce least privilege,1
Cross-Account Trust Exploitation,apply least privilege,1
Cross-Modal Embedding Reconstruction,restrict access to,1
Cross-Modal Transferability,use adversarial training,1
Cross-Origin Data Leak / DOM Access,content security policy,1
Cross-Protocol Attack via Deserialization,strict input validation,1
Cross-Site Scripting (XSS),content security policy,8
Cross-Site Scripting (XSS),security policy csp,6
Cross-Site Scripting (XSS),use content security,2
Cross-Site Scripting (XSS),input validation and,1
Cross-Site Scripting (XSS),sanitize user input,1
"Cross-modal (e.g., text+image) Adversarial Attack",use adversarial training,1
Cross-modal Inversion from Shared Latents,apply differential privacy,1
Crowdsourcing-Based Poisoning,human in the,1
Crowdsourcing-Based Poisoning,in the loop,1
Crypto Mining / Hidden Workloads,use only verified,1
D-Bus Auto-start Service Abuse,restrict write access,1
D-Bus Auto-start Service Abuse,write access to,1
DDoS or Brute-Force on Public RPCs or APIs,implement rate limiting,1
DHCP Misconfiguration DoS,enable dhcp snooping,1
DHCP Offer Race Condition,enable dhcp snooping,1
DHCP Pool Exhaustion,enable dhcp snooping,1
DHCP Server Injection + MITM,enable dhcp snooping,1
DHCP Starvation via MAC Spoofing,enable dhcp snooping,1
DLL Injection,restrict write access,1
DLL Injection,write access to,1
DNS Cache Poisoning,educate users on,1
DNS Recursive Resolver Abuse,block access to,1
DNS Redirection to Malicious Server,public wi fi,1
DNS Response Forgery,access to internal,1
DNS Response Forgery,restrict access to,1
DNS Spoofing via DHCP Injection,enable dhcp snooping,1
DNS Spoofing via UDP MITM,use static arp,1
DNS Tunneling,disable script execution,1
DOM Manipulation & UI Spoofing,disable script execution,1
DOM Manipulation & UI Spoofing,script execution in,1
DOM-Based XSS,validate and sanitize,2
Data Drift / Concept Drift Exploitation,human in the,1
Data Drift / Concept Drift Exploitation,in the loop,1
Data Drift / Concept Drift Exploitation,input validation and,1
Data Drift / Concept Drift Exploitation,strict input validation,1
Data Encoding in IP Header Fields,deep packet inspection,1
Data Exfiltration,apply least privilege,1
Data Exfiltration,limit access to,1
Data Exfiltration / Command & Control (C2),apply least privilege,1
Data Exfiltration / Cross-Account Access,enforce least privilege,1
Data Exfiltration / Cross-Account Exploitation,enforce least privilege,1
Data Exfiltration via Scheduled Serverless Function,anomaly detection on,1
Data Exposure via Insecure Logging,restrict log access,1
Data Exposure via Misconfiguration,apply least privilege,1
Data Injection via ICMP Echo or Payload Abuse,deep packet inspection,1
Data Interception,end to end,3
Data Leakage via External Data Sources,sanitize and validate,1
Data Leakage via Response/Storage,use short lived,1
Data Manipulation / Injection,apply input validation,1
Data Manipulation / Injection,input validation and,1
Data Memorization Leakage,train with dp,1
Data Poisoning,human in the,1
Data Poisoning,in the loop,1
Data Reconstruction from Gradients in FL/DP Models,noise to gradients,1
Data Sabotage,role based access,1
Data Supply Chain Attack,human in the,1
Data Supply Chain Attack,in the loop,1
Dataset Poisoning,use adversarial training,1
Default Credentials Exploitation,disable public access,1
Default Login on Identity/SSO/Reverse Proxy Dashboards,disable public access,1
Default Login on Identity/SSO/Reverse Proxy Dashboards,to internal ips,1
Defense Evasion,and alert on,1
Defense Evasion,restrict log access,1
Defense Evasion / Detection Bypass,enforce least privilege,1
Defense Evasion / Detection Bypass,least privilege on,1
Defense Evasion → Clearing Event Logs,via applocker or,1
Defense Evasion → Code Signing Abuse,restrict access to,1
Defense Evasion → Disabling Security Tools,restrict access to,1
Defense Evasion → Disabling Security Tools,use behavior based,1
Defense Evasion → Obfuscation,script block logging,1
Delivery of Updates to Malware via HTTPS,use code signing,1
Denial + Bypass of Guest Captive Portal,enable dhcp snooping,1
Denial of Service (DoS),and alert on,1
Denial of Service (DoS),implement rate limiting,1
Denial of Service (DoS),rate limiting and,1
Denial of Service (DoS),use reentrancy guards,1
Denial of Service (DoS) via Uploads,implement rate limiting,1
Denial of Service / Financial Abuse,and anomaly detection,1
Denial of Service / Financial Abuse,anomaly detection on,1
Denial of Service / Financial Abuse,implement rate limiting,1
Denial of Service / Forced Reconnection,use strong encryption,1
Denial of Service / Resource Abuse,implement rate limiting,1
Denial of Service / Resource Abuse,rate limiting and,1
Denial of Service / Resource Exhaustion,input validation and,1
Denial of Service / Resource Exhaustion,strict input validation,1
Denial-of-Service,implement rate limiting,1
Deployment via Social Engineering + APK,educate users to,1
Deserialization / Injection,validate and sanitize,1
Deserialization for Lateral Movement,enforce least privilege,1
Detection,and anomaly detection,1
Detection Engineering → Cloud Detection Rule,rotate keys regularly,1
Detection Engineering → Network Anomaly Logic,deep packet inspection,1
Dev forgets to scrub OpenAI key → tool leaks it,store secrets in,1
Device Access Exploit,do not allow,1
Device Compromise / Data Exfiltration,use hardware wallets,1
Dictionary-Style API Membership Inference,add dp noise,1
Direct Input Reconstruction from Shared Gradients,add noise to,1
Direct Input Reconstruction from Shared Gradients,noise to gradients,1
Direct Object Reference Bypass,on server side,1
Display-Based Timing,use constant time,1
Distributed Front-Running Attacks,and anomaly detection,1
DoS Amplification,rate limiting and,1
DoS Attack,rate limiting and,1
DoS via Malformed URL Scheme,and validate all,1
DoS via Malformed URL Scheme,sanitize and validate,1
Document Hash Collision and Digital Signature,sha 256 or,1
Document Hash Collision and Digital Signature,use sha 256,1
Document Malware,disable macros by,1
Document-Based Social Engineering,disable macros by,1
Document-Based Social Engineering,macros by default,1
Domain Impersonation / Phishing,educate users to,1
Domain Transfer via Shadow Modeling,restrict access to,1
Double Spending via UTXO Dust Exploit,do not trust,1
Dragonblood Attack,use constant time,2
Dragonblood Attack,enforce server side,1
Dynamic Executor Replacement,use code signing,1
Dynamic MIA Adapting to Target Defenses,use differential privacy,1
Dynamic Malware Analysis,and alert on,1
ECB Mode Block Reassembly,aes gcm or,1
ECC Scalar Multiplication Power Attack,use constant time,1
ECC Side-Channel Key Recovery,use constant time,1
ECU Reverse Engineering,secure boot and,1
Email Enumeration via VRFY/EXPN,access to internal,1
Email Enumeration via VRFY/EXPN,and anomaly detection,1
Email Enumeration via VRFY/EXPN,deep packet inspection,1
Email Enumeration via VRFY/EXPN,enforce strong passwords,1
Email Enumeration via VRFY/EXPN,restrict access to,1
Email Infrastructure Exposure via Default Configurations,disable public access,1
Email Malware Delivery (Phishing Attachments),from unknown sources,1
Embed malware inside Linux kernel's EFI stub,use secure boot,1
Embedding Contrastive Leakage,restrict access to,1
Embedding Fragment Inference Attack,restrict access to,1
Embedding Hidden Jailbreak Commands via Overfit Tokens,anomaly detection on,1
Embedding Inversion Attack,use differential privacy,1
Embedding Inversion for Model Parameter Recovery,differential privacy in,1
Embedding Inversion for Model Parameter Recovery,restrict access to,1
Embedding Inversion for Model Parameter Recovery,use differential privacy,1
Embedding Inversion with Internal Access,differential privacy in,1
Embedding Inversion with Internal Access,use differential privacy,1
Embedding Math-Based Feature Isolation,add noise to,1
Embedding Math-Based Feature Isolation,restrict access to,1
Embedding Similarity Membership Attack,use adversarial training,1
Embedding Space Manipulation,use adversarial training,1
Embedding Space Re-identification,add noise to,1
Embedding Space Re-identification,apply differential privacy,1
Encoded Command Execution via Empire,constrained language mode,1
Encoded ID Tampering,on server side,1
Encrypted Attachment Abuse,disable macros by,1
Encrypted Attachment Abuse,macros by default,1
Encrypted File Bypass,disable macros by,1
Encrypted File Bypass,macros by default,1
Encrypted SSH Tunnel for Remote Control,and anomaly detection,1
Encrypted Traffic Sniffing + Offline Cryptanalysis,use strong encryption,1
Endpoint (AV Evasion),script block logging,1
Eval-based Obfuscation,content security policy,1
Evasion Attack,use adversarial training,1
Evasion via Adversarial Inputs from Shadows,use adversarial training,1
Evasion via Changing URIs in HTTP/S Requests,use behavior based,1
Evasion via Hash Matching,sha 256 or,1
Evasion via Hash Matching,use behavior based,1
Evasion via Hash Matching,use sha 256,1
Evasion via Model Compression,use adversarial training,1
Evidence Tracking,role based access,1
Evil Twin + Captive Portal + Mobile Auto-Connect,open wi fi,1
Evil Twin + Captive Portal Injection,do not allow,1
